ID,waveType,adWeight
110001,10,83.79255721915052
210001,20,61.68153892203842
310001,30,968.288657787941
410001,40,211.66928651650989
510001,50,28.05747725730184
110030,10,3.28431389012865
310030,30,12.53473274192786
410030,40,8.180647622504711
110117,10,1.9367040169398198
210117,20,1.174760983626327
310117,30,8.139491377573359
410117,40,1.6096333068932598
510117,50,0.1387787496187296
110146,10,0.12660070306120996
410146,40,0.5756073813514897
110204,10,0.10643125974154
110262,10,0.01665105192366001
310262,30,1.0702372609980597
210349,20,0.035308134539553004
310349,30,4.0251708687723795
510349,50,0.08894219734211557
110378,10,1.26199716008918
210378,20,0.0064283129958520036
310378,30,1.2213227322275704
410378,40,0.11908150121495997
210407,20,0.41505181192418106
310407,30,10.82934429683616
410407,40,0.95067483482697
510407,50,0.21632283133889957
310436,30,0.04895449781833028
310494,30,0.44749885166690007
510523,50,0.024803108404457583
110552,10,4.8305387868407506
210552,20,0.36103671106302904
310552,30,10.16386787700506
410552,40,0.25383874516771
510552,50,0.2847146578677226
110610,10,4.54686750896603
210610,20,0.158676921155132
410610,40,2.53067729469807
310668,30,2.56999493923956
110784,10,1.80044377808101
210784,20,0.06752825853357303
310784,30,0.3689822890652099
510784,50,0.046942351223917586
510813,50,0.02468017286769758
110842,10,0.28247648504593004
310842,30,8.22806406261636
410842,40,14.807423493371168
210871,20,0.07341641167738
310871,30,7.488052097992659
410871,40,10.72710036223237
510871,50,0.1797080853343906
210900,20,0.13749660817828002
310900,30,0.3648812600644802
510900,50,0.060417224284838575
210929,20,0.349654122319239
510929,50,0.24972990178031257
110958,10,2.1629120544383795
210958,20,1.9449637029751572
310958,30,5.91836215803759
410958,40,2.0255891828304797
110987,10,0.8733027828314099
210987,20,1.560826348189227
310987,30,1.28398224486406
410987,40,0.81611314334612
510987,50,0.03589512360752857
111016,10,7.40797352029344
211016,20,0.10533742423124803
311016,30,14.91884345266796
411016,40,0.8027759934104699
511016,50,0.14975097246064556
311045,30,0.4285392323875601
511045,50,0.12542953870519058
411074,40,3.1914080058979497
311103,30,0.42354810156562017
411103,40,1.2606216772662098
111248,10,5.285165378846671
311248,30,0.4979314651625
411248,40,0.46449536653620993
511248,50,0.012462205828623577
111277,10,0.2594479117816
511277,50,0.04464457764327957
111306,10,1.15089974953774
311306,30,1.6467925337809501
511335,50,0.08105190553973958
111364,10,0.5278664903715298
511451,50,0.19937417265644258
111480,10,8.1088740465755
311480,30,0.84056115630466
111538,10,4.275320444770061
511538,50,0.0010622929637995743
411596,40,3.3719352024006
211683,20,0.10115161556219804
511683,50,0.2751933988627656
311770,30,0.11158159824653024
411770,40,0.1926817392431499
511770,50,0.011180008039297584
211857,20,0.295275606371309
511857,50,0.43252530781410264
111886,10,0.29881248383988
511915,50,0.014450072843843573
111944,10,0.04319845435092007
211944,20,0.6778447000612071
311944,30,8.300698012692859
411944,40,1.0657734213542898
511944,50,0.20355918509800358
111973,10,0.9924385521273897
112031,10,0.54816321337256
312031,30,3.38786615923569
512031,50,0.07521764713394459
512060,50,0.12640599214010456
312089,30,2.9136065204132904
112147,10,1.10583665990007
112205,10,3.3650800622474097
112263,10,2.22574289085765
312263,30,1.2269388407299
412263,40,1.1818593358025997
312292,30,3.2519001926682205
512379,50,0.02443597369995458
112408,10,0.5268752179504299
312408,30,0.5117440084100102
512495,50,0.06493406564180958
312611,30,0.5566647975760199
412611,40,0.6788570363322499
312669,30,0.0332635179060099
412785,40,0.7887408083813998
212872,20,0.742365457946947
312872,30,8.057677143988059
512872,50,0.6196170435691786
312988,30,28.24777463364966
412988,40,3.2258162846823
512988,50,0.012219732483611578
513046,50,0.01516152505547158
513133,50,0.09330782255307658
113162,10,2.40869746568252
313162,30,2.52009574912633
413162,40,0.09444743604167982
113220,10,2.88937580363629
213220,20,0.8444160008093471
313220,30,1.7718798590493798
413220,40,0.41690174834083993
113249,10,1.1971660970357398
213249,20,0.7256844841244869
313249,30,1.9208765150238603
413249,40,0.43352047216763
513249,50,0.06697160645316659
513365,50,0.04615010524139358
313394,30,1.6855373028958502
513394,50,0.06089050784583157
513423,50,0.13683594468510857
213481,20,0.6409287839299271
313481,30,2.1821989217669198
513481,50,0.6941533787561586
513510,50,0.04099756796250058
313568,30,0.18766236829180993
313597,30,3.1585755871469705
513597,50,0.11106537436312659
313655,30,0.7166609136513
513655,50,0.10760242614078659
113800,10,4.03987931794011
413800,40,0.16501426387376994
513800,50,0.03204029437473559
113916,10,8.16748421892836
213916,20,2.765554013481577
313916,30,5.770345752776489
413916,40,0.7232421702881697
513916,50,0.9781582575061416
113945,10,6.6224571082144505
213945,20,6.749561462179367
313945,30,5.497171362241559
413945,40,1.0918898792478098
513945,50,2.3491792389515216
514003,50,0.09877241489383158
114090,10,5.11941927400083
214090,20,0.252119649308002
314090,30,2.03181898277113
414090,40,0.18092847480802998
514090,50,0.2292703203775866
114119,10,0.14308139316370005
214119,20,0.03753449219538402
314119,30,1.5793650189271005
514119,50,0.10860474314730457
414209,40,0.17262372823806982
114270,10,0.020143034233989887
214270,20,0.10147465651051601
214329,20,0.061775978556451006
114502,10,0.4023081785876299
214502,20,0.15357449087059505
314502,30,1.12919411786052
414502,40,1.1066271827473897
114563,10,0.015998215905679958
214563,20,0.184191021399851
314563,30,2.69992794471919
414563,40,0.7679304272593699
114866,10,0.35723492238181986
414866,40,0.2769755053315399
414927,40,0.22393878072779994
114987,10,3.52232704811178
214987,20,0.23841931812793604
314987,30,3.4469712865543998
414987,40,13.338081848653069
115048,10,2.16139986657418
215048,20,0.061273524799457024
315048,30,1.3558306103147397
415048,40,11.39689134330337
315109,30,0.08683448693439022
415109,40,0.42375112028858997
215170,20,0.001342022599017001
315170,30,27.48326831661396
415170,40,1.22010758350973
115231,10,1.14604539212196
215231,20,0.4218330794002251
215290,20,0.417177808162715
315349,30,11.20919819996206
415349,40,0.5866587369882499
115471,10,1.44396367876012
415471,40,1.2909600828150598
115530,10,0.7796969436585901
215530,20,0.25269834346103304
415530,40,0.4255007502666899
115589,10,1.5438434806686
415589,40,0.7270154333403398
215955,20,0.019873300131953042
216249,20,0.014019845191116043
116427,10,0.3794844793540799
216427,20,0.09479568898677804
116670,10,0.5071381752445399
216670,20,0.046424273285446016
316670,30,0.16370182822967028
416670,40,2.70652042225285
416731,40,0.8391973224356297
116910,10,0.9062509178158298
216910,20,0.006425026409031032
317031,30,1.3106153989461204
417031,40,0.8002557042061
317091,30,4.23290667684063
417091,40,1.4491328498188598
117152,10,0.19769060026720986
217152,20,0.03415655692543401
317152,30,2.98508766248554
417152,40,1.6555848784070597
417213,40,0.09740548111053982
217512,20,0.32058384874677004
317512,30,0.71102171873568
417512,40,0.26785772637268
217573,20,0.10159367016840404
317573,30,0.013881256362710204
417573,40,0.07044252275584983
317634,30,0.7865423810005501
417634,40,1.43237512569947
217695,20,0.236362044235775
417695,40,0.29212986398627994
217870,20,0.359639996651291
417992,40,0.2326331164410098
118109,10,2.37850955497556
218109,20,0.955717948994917
218170,20,0.6171607301501469
118231,10,0.23634322289518006
218231,20,0.41046639433837007
218292,20,0.34121905351552806
118351,10,0.7274394338094499
218351,20,0.289894922210572
218412,20,0.46117875328510305
118473,10,0.23273335639853987
318473,30,0.39154214928242004
418473,40,0.1257189085770698
218590,20,0.03537476587698701
118708,10,1.9766737867164699
318708,30,0.7229915785212202
418708,40,1.5370061123382701
118769,10,0.6598948865634602
418769,40,0.9686000382868998
118830,10,0.5305086299403798
218830,20,0.13844042094449405
119069,10,1.02345287627176
319069,30,4.17886545557972
419069,40,4.66231688136952
119127,10,0.007859045172409873
319127,30,3.1078679813747203
419127,40,1.5801289475018199
119304,10,0.3514895723084399
219304,20,0.0059239173221120045
319304,30,1.5830031836207001
419304,40,0.26871591108656
219364,20,0.040808734260055046
319364,30,1.3111370577072203
419364,40,0.054959889897129965
219424,20,0.010293324949209037
419424,40,0.3123046153567899
219484,20,0.044924416219350005
119545,10,0.31232165656141997
319545,30,1.3235597498545597
419545,40,2.43940720751512
319605,30,0.2955217135094701
419605,40,0.9165790784832697
119787,10,0.5316372638157698
219787,20,0.06203143532243505
319787,30,0.5738822799683003
419787,40,0.8039377893742601
319848,30,0.29176991652282025
419848,40,0.13457435452508992
220030,20,0.044730038085251
120148,10,0.08104537635830988
420148,40,0.13876691151683995
420207,40,0.4172925823095299
120266,10,3.73473145882027
220266,20,0.610668247850935
320266,30,1.1097169595203797
420266,40,3.35480875274056
120327,10,1.2182364477716001
220327,20,0.28074579304843306
420327,40,0.8149668848846101
420501,40,0.57647701904191
320560,30,0.7085281440119102
420560,40,0.8420020901274698
120619,10,0.31456176526811985
220619,20,0.075455688091071
320619,30,1.0332488498664305
420619,40,0.7962940284399398
220680,20,0.017104695168831008
320680,30,1.80594271821113
420680,40,1.35107920593361
420741,40,0.1509918790865199
420922,40,0.06789977777651002
221042,20,1.4540376704938571
521042,50,0.16456414820836257
321102,30,0.11728774770711992
221220,20,0.269105606249853
221278,20,0.17175897831406406
121336,10,2.0442093478497902
321336,30,6.502618256613429
421336,40,8.90236859678567
421396,40,1.3818473282612498
121457,10,0.23676390227854993
221457,20,0.38729028539300003
421457,40,1.0142309590296898
221515,20,0.24172899530764003
421515,40,0.34512260647718995
121574,10,4.8473776893236
221574,20,0.14704102638357908
321574,30,4.696096289149331
421574,40,3.62664505179003
121634,10,3.96174797739039
221634,20,0.033286168541185046
321634,30,1.6721744080270597
421634,40,1.50938552273196
121694,10,4.81039838639416
121754,10,2.63228965464772
221754,20,2.156505130504247
321754,30,5.25776248945065
421754,40,1.4207071541002398
521754,50,0.3350675721726086
321814,30,0.4444651354906499
421814,40,0.91963603903532
321875,30,1.6560657227166504
421875,40,1.0619127931271
421936,40,0.1543588796592399
421994,40,0.024158732268229954
122053,10,0.04308948679120994
222053,20,0.028107426523981016
222413,20,0.0011071596584220078
122648,10,1.74224049870203
422648,40,2.76738067729425
122709,10,0.20849707536044004
422709,40,0.25614603108848
122892,10,1.7002427471811201
222892,20,0.589758364555132
322892,30,2.35689822556266
422892,40,1.27082701964815
222953,20,0.238523621654804
322953,30,0.5780693643477499
422953,40,0.19199209443964982
123014,10,0.64618885799605
323075,30,0.5539690041256202
423075,40,0.030698425779549954
223377,20,0.14144731632401608
423377,40,0.07161388102215982
223495,20,0.630512235513347
323495,30,5.7441067726610004
423495,40,3.1066290719013203
223554,20,0.127616874000676
323554,30,1.5012130542885704
423554,40,1.1238619520872
123613,10,1.04721200018459
223613,20,0.534897054115817
223674,20,0.289254902828028
423851,40,0.09838837504303988
123971,10,0.8120994236573098
423971,40,0.4538470637165899
324029,30,0.15693843128184026
424029,40,0.15578476707902
124209,10,0.8130339187973401
424209,40,0.07994800344179986
124330,10,0.9848997589050101
424330,40,3.2586742085134803
424391,40,1.7202809002221198
224452,20,0.30392059441992203
224511,20,0.48489933400333307
524511,50,0.03481111001417857
124811,10,0.08275106570698987
324811,30,1.4202738270936197
424811,40,8.743607762804771
424868,40,4.97636309746913
124926,10,2.5278291641909902
224926,20,1.256849962057317
324926,30,28.93490853946496
424926,40,8.03871086837917
524926,50,0.05381053700992157
124984,10,0.23441476737655997
224984,20,0.16568070884249297
424984,40,1.04301589543388
125042,10,0.38364225547336983
225101,20,0.7244300216726871
525101,50,0.10535897047310859
210003,20,0.002025481953518038
310003,30,38.071261111304565
410003,40,1.1096235765041
510003,50,0.09315748054640059
110032,10,2.0774707627175797
310032,30,10.35526024397276
410032,40,6.04068210394455
110119,10,2.69545870450571
210119,20,1.554253885709197
310119,30,13.91336952004076
410119,40,2.9384212126246503
510119,50,0.2003788707795816
410148,40,0.41295733563215986
510235,50,0.1548141302347386
110264,10,0.8528453680821502
310264,30,1.6916625821181497
510264,50,0.012387843388871583
110380,10,1.08126169403733
310380,30,2.7136865009862503
110409,10,0.10796557334315993
210409,20,0.676243120336337
310409,30,12.28236504507116
410409,40,0.6479066414308599
510409,50,0.4634216962491356
210467,20,0.303087817474305
510467,50,0.13283531790861558
310496,30,2.85954444861227
510496,50,0.06371333104061659
310525,30,1.1398508730771497
510525,50,0.04738845400748358
110554,10,4.18262999441912
310554,30,5.30505130945461
510554,50,0.04849438103476457
110612,10,4.82622602592122
210612,20,0.196418454433695
310612,30,1.9496435150945204
410612,40,2.65213831560515
210641,20,0.34689630192268206
510641,50,0.2986511002543056
310670,30,6.36673039145702
510670,50,0.004629630059471576
310699,30,0.5601091128467202
510699,50,0.09966832556536658
310728,30,1.8995035546861998
510728,50,0.047309757451632586
110786,10,2.26102019667484
210786,20,0.409867771764156
310786,30,1.8475857943319105
510786,50,0.3276151047332276
210815,20,0.09624690947791703
510815,50,0.2237333332035336
110844,10,0.7278360217380901
310844,30,13.027240119086759
410844,40,17.49117956488647
110873,10,1.31669014421929
210873,20,1.230433550461327
310873,30,20.71508366915966
410873,40,17.363157217910768
510873,50,0.9489370171447615
210902,20,0.258706012421285
310902,30,1.4550535224469
510902,50,0.10893473019874657
210931,20,1.090797799185937
310931,30,2.9969259052141104
510931,50,0.7775755266083645
110960,10,1.8444704063477297
210960,20,1.973875572708757
310960,30,9.11050970519446
410960,40,1.52476169316772
510960,50,0.02677972144016759
110989,10,0.15339566179857989
210989,20,0.487351221264418
111018,10,6.883481065777091
211018,20,0.39798706090594504
311018,30,24.57170396640236
411018,40,1.8054146301
511018,50,0.21301544233709158
311047,30,1.8540514389321898
511047,50,0.012044332233999575
311076,30,2.62650027573183
411076,40,3.4207899720869
511076,50,0.09346792258394158
111105,10,0.4891904592458698
211105,20,0.8625726708704371
311105,30,16.98681401959626
411105,40,2.44977368519082
511105,50,0.5681684924378485
211163,20,0.6257908157225771
311163,30,1.1248734209310798
511163,50,0.5071067299271086
511221,50,0.07961205392073058
111250,10,5.01694746761032
311250,30,1.31570981959351
411250,40,0.4481562133508099
511250,50,0.01568737044097658
111279,10,0.11585232558713998
111308,10,1.1865484448005301
311308,30,4.030162686286809
411308,40,0.3000290036723998
211337,20,2.520123086329557
311337,30,10.03935400572926
511337,50,2.360465457431762
